iter	RMSE
0	51.06463311
1	50.86171862
2	50.69896749
3	50.52193072
4	50.36875543
5	50.2322942
6	50.14268697
7	50.02636308
8	49.9373673
9	49.83851881
10	49.71656039
11	49.61803939
12	49.53784549
13	49.45676964
14	49.38295684
15	49.30036784
16	49.19374943
17	49.11981133
18	49.07184129
19	49.02518829
20	48.95471267
21	48.92951654
22	48.85758303
23	48.81330887
24	48.78212962
25	48.72722632226	48.68661847
27	48.64823236
28	48.59443848
29	48.55244783
30	48.5073022
31	48.45940103
32	48.42061203
33	48.36031311
34	48.29720186
35	48.25775053
36	48.22173167
37	48.16356932
38	48.13338024
39	48.11584765
40	48.0727683
41	48.0210607
42	47.9883066
43	47.94974719
44	47.92723285
45	47.90863335
46	47.86648003
47	47.85269228
48	47.84440074
49	47.81897986
50	47.79255372
51	47.75110168
52	47.72185112
53	47.69505008
54	47.67480392
55	47.66066051
56	47.6535799
57	47.62926651
58	47.5909532
59	47.56635454
60	47.52641991
61	47.49362368
62	47.48182505
63	47.46815678
64	47.44885026
65	47.43612623
66	47.4139131
67	47.40020025
68	47.37561707
69	47.35478598
70	47.33895277
71	47.31914484
72	47.29139427
73	47.26812267
74	47.23565829
75	47.21493019
76	47.18692212
77	47.17432181
78	47.15819273
79	47.13121524
80	47.1110344
81	47.09143243
82	47.06346275
83	47.04212591
84	47.01068084
85	46.97744023
86	46.94615529
87	46.94088818
88	46.93696917
89	46.91562144
90	46.87677307
91	46.86758083
92	46.85793	4793	46.836194	4794	46.821795	4795	46.784696	4796	46.756797	4797	46.726098	498	46.7090599	499	46.68947100	100	46.64198101	101	46.62777102	102	46.60528485
103	46.57455379
104	46.54074537
105	46.52742051
106	46.50461189
107	46.49591104
108	46.47474144
109	46.46567363
110	46.45018549
111	46.4336994
112	46.42377662
113	46.4153173
114	46.41234378
115	46.40147658
116	46.38651495
117	46.37851566
118	46.35557978
119	46.34720175
120	46.32751584
121	46.31610474
122	46.29832919
123	46.27551576
124	46.125	46.125	46.25126	46.126	46.25127	46.127	46.23128	46128	46.237129	46129	46.220130	46130	46.208131	46131	46.183132	46132	46.176133	46133	46.168134	4134	46.143135	46135	46.123136	46136	46.107137	46137	46.102138	46138	46.091139	46139	46.065140	46140	46.060141	46.38401298
142	46.36852738
143	46.3529695
144	46.33521623
145	46.32107809
146	46.3059652
147	46.27958372
148	46.27002722
149	46.25764941
150	46.23767574
151	46.23234246
152	46.2165469
153	46.20430165
154	46.18519573
155	46.1779756
156	46.17028074
157	46.14748333
158	46.13141306
159	46.11095595
