iter	Passed	Remaining
0	10	10657
1	20	9999
2	31	10458
3	38	9464
4	44	8795
5	50	8337
6	54	7662
7	59	7367
8	63	7002
9	68	6795
10	73	6602
11	78	6467
12	83	6329
13	88	6244
14	93	6139
15	98	6044
16	103	5972
17	107	5883
18	111	5758
19	115	5678
20	120	5611
21	123	5483
22	127	5434
23	131	5359
24	135	5274
25	140	5271
26	145	5254
27	150	5210
28	154	5170
29	158	5131
30	162	5094
31	167	5056
32	172	5050
33	177	5029
34	181	4998
35	186	5004
36	192	5007
37	197	4987
38	201	4975
39	207	4974
40	211	4946
41	215	4924
42	221	4925
43	225	4909
44	230	4892
45	235	4878
46	239	4857
47	244	4841
48	248	4818
49	252	4795
50	256	4773
51	260	4753
52	265	4736
53	270	4743
54	275	4734
55	279	4719
56	283	4693
57	288	4684
58	292	4671
59	297	4661
60	302	4657
61	306	4643
62	311	4629
63	316	4634
64	323	4651
65	329	4667
66	338	4709
67	345	4736
68	351	4741
69	357	4745
70	362	4739
71	368	4753
72	375	4765
73	381	4779
74	390	4820
75	401	4884
76	410	4924
77	416	4919
78	423	4935
79	429	4936
80	438	4969
81	446	4998
82	453	5006
83	457	4992
84	461	4970
85	467	4969
86	472	4956
87	477	4944
88	481	4924
89	485	4913
90	490	4901
91	496	4902
92	501	4890
93	505	4876
94	509	4853
95	515	4855
96	520	4842
97	524	4828
98	529	4822
99	534	4809
100	538	4792
101	542	4778
102	547	4771
103	552	4760
104	557	4748
105	562	4743
106	567	4737
107	571	4721
108	575	4704
109	580	4699
110	585	4687
111	589	4673
112	594	4668
113	599	4661
114	602	4635
115	607	4626
116	615	4647
117	622	4650
118	628	4656
119	634	4654
120	644	4679
121	652	4699
122	662	4720
123	669	4726
124	674	4719
125	681	4724
126	687	4729
127	700	4768
128	707	4775
129	714	4782
130	721	4784
131	728	4787
132	734	4786
133	740	4786
134	747	4787
135	752	4778
136	758	4775
137	763	4770
138	769	4764
139	775	4761
140	780	4756
141	782	4730
142	787	4716
143	792	4712
144	797	4705
145	802	4692
146	807	4684
147	812	4678
148	817	4667
149	822	4659
